CID,Type,Impact,First Detected,Severity,Component,File,Function,1. ABK_Code_Type,2. ABK_Classification,ABK_Tags,3. ABK_Initial_Triaged,ABK_AutoTriage,Checker,CWE,Comparison,Issue Kind,Last Snapshot Stream,Line Number
29368,Out-of-bounds write,High,03/19/25,Critical,Other,/code/src/game_iw9/game/g_scr_main.cpp,G_ScrMain_FrontEndSceneCameraCharacters,Production,Not Exploitable,,2025-03-20,false,OVERRUN,119,Absent,Various,ATVI-CoD-trunk,47342
29369,Out-of-bounds write,High,03/19/25,Critical,Other,/code/src/game_iw9/game_mp/g_client_script_cmd_mp.cpp,PlayerCmd_SetCodcasterStat,Production,Not Exploitable,,2025-03-20,false,OVERRUN,119,Absent,Various,ATVI-CoD-trunk,6887
29371,Out-of-bounds access,High,03/19/25,Critical,Other,/code/src/game_iw9/game/ai/ai_scr.cpp,OnScrCmd_SetAIShootStyleOverrideForDistance,Production,False Positive,,2025-03-20,false,OVERRUN,119,Absent,Various,ATVI-CoD-trunk,19719
29374,Out-of-bounds access,High,03/19/25,Critical,Other,/code/src/game_iw9/game/g_objectives.cpp,Scr_Objective_UnsetLocation,Production,Not Exploitable,,2025-03-20,false,OVERRUN,119,Absent,Various,ATVI-CoD-trunk,1690
29375,Out-of-bounds write,High,03/19/25,Critical,Other,/code/src/game_iw9/game/g_missile.cpp,Scr_MissileCreateAttractorEnt,Production,Not Exploitable,,2025-03-20,false,OVERRUN,119,Absent,Various,ATVI-CoD-trunk,Various
29376,Out-of-bounds read,High,03/19/25,Critical,Other,/code/src/game_iw9/game/g_targets.cpp,Target_Alloc,Production,Suspicious,,2025-03-20,false,OVERRUN,125,Absent,Various,ATVI-CoD-trunk,Various
29378,Out-of-bounds access,High,03/19/25,Critical,Other,/code/src/game_iw9/game/g_scr_main.cpp,GScr_PlayGestureViewmodel,Production,Not Exploitable,,2025-03-20,false,OVERRUN,119,Absent,Various,ATVI-CoD-trunk,31256
29379,Out-of-bounds access,High,03/19/25,Critical,Other,/code/src/db_generated/archive/db_archive_preload.h,Preload_XAnimPartTransData,Production,False Positive,,2025-03-27,false,OVERRUN,119,Absent,Various,ATVI-CoD-trunk,147497
29380,Out-of-bounds access,High,03/19/25,Critical,Other,/code/src/game_iw9/game/ai/ai_scr.cpp,AIScr_AISpawnDirectorSetSubZoneEnabled,Production,Not Exploitable,,2025-03-20,false,OVERRUN,119,Absent,Various,ATVI-CoD-trunk,7369
29381,Out-of-bounds write,High,03/19/25,Critical,Other,/code/src/game_iw9/bgame/bg_scr_main.cpp,BGScr_StrTokSubstr,Production,Not Exploitable,,2025-03-20,false,OVERRUN,119,Absent,Various,ATVI-CoD-trunk,Various
29382,Out-of-bounds write,High,03/19/25,Critical,Other,/code/src/game_shared/game_mp/vehicles/g_vehicle_script_mp.cpp,GScr_Vehicle_SetSticker,Production,Not Exploitable,,2025-03-20,false,OVERRUN,119,Absent,Various,ATVI-CoD-trunk,716
29383,Out-of-bounds access,High,03/19/25,Critical,Other,/code/src/db_generated/archive/db_archive_load.h,Load_XAnimDeltaPartQuatData,Production,False Positive,,2025-03-27,false,OVERRUN,119,Absent,Various,ATVI-CoD-trunk,134739
29386,Out-of-bounds access,High,04/29/25,Critical,Other,/code/src/qcommon/keybinds.cpp,GetConflicts,Production,Suspicious,,2025-04-30,false,OVERRUN,119,Absent,Various,ATVI-CoD-trunk,295
29388,Out-of-bounds access,High,04/29/25,Critical,Other,/code/src/qcommon/keybinds.cpp,SetLinked,Production,Suspicious,,2025-04-30,false,OVERRUN,119,Absent,Various,ATVI-CoD-trunk,404
29390,Out-of-bounds access,High,04/29/25,Critical,Other,/code/common/libs/MathCore/MathCore/math_ops.cpp,TriDiagQL,Production,Suspicious,,2025-05-09,false,OVERRUN,119,Absent,Various,ATVI-CoD-trunk,Various
29397,Out-of-bounds access,High,04/29/25,Critical,Other,/code/src/qcommon/keybinds.cpp,SetLinked,Production,Suspicious,,2025-04-30,false,OVERRUN,119,Absent,Various,ATVI-CoD-trunk,Various
29404,Out-of-bounds access,High,04/29/25,Critical,Other,/code/src/game_iw9/cgame/cg_draw_pbg.cpp,CG_pbgPostFxBundleNightVisionThermalStopPreset,Production,Not Exploitable,,2025-05-05,false,OVERRUN,119,Absent,Various,ATVI-CoD-trunk,2171
29405,Out-of-bounds access,High,04/29/25,Critical,Other,/code/src/xanim/nodes/xanimnode_aimat_procedural.cpp,XAnimAimAtProcedural_Calc_UpdateBones,Production,False Positive,,2025-04-30,false,OVERRUN,119,Absent,Various,ATVI-CoD-trunk,Various
29406,Out-of-bounds access,High,04/29/25,Critical,Other,/code/src/game_iw9/cgame/cg_world_streaming.cpp,CG_WorldStreaming_TouchClientStreamManualViews,Production,Suspicious,,2025-05-08,false,OVERRUN,119,Absent,Various,ATVI-CoD-trunk,869
29408,Out-of-bounds access,High,04/29/25,Critical,Other,/code/external/harfbuzz-8.3.0/src/hb-bit-page.hh,next,Third Party/Open Source,Unclassified,,,false,OVERRUN,119,Absent,Various,ATVI-CoD-trunk,266
29409,Out-of-bounds read,High,04/29/25,Critical,Other,/code/external/icu-74.1/icu4c/source/common/uchar.cpp,uscript_getScript_75,Third Party/Open Source,Unclassified,,,false,OVERRUN,125,Absent,Various,ATVI-CoD-trunk,551
29410,Out-of-bounds read,High,04/29/25,Critical,Other,/code/external/luajit/2.1.0-beta3/src/lj_buf.c,lj_buf_puttab,Third Party/Open Source,Unclassified,,,false,OVERRUN,125,Absent,Various,ATVI-CoD-trunk,187
29411,Copy into fixed size buffer,Low,04/29/25,Critical,Other,/code/external/icu-74.1/icu4c/source/common/uresbund.cpp,entryOpen,Third Party/Open Source,Unclassified,,,false,STRING_OVERFLOW,120,Absent,Various,ATVI-CoD-trunk,893
29413,Out-of-bounds access,High,04/29/25,Critical,Other,/code/src/game_iw9/cgame/cg_snd_physics.cpp,SND_OccTraceSideStraight,Production,False Positive,cov_logic_error,2025-05-01,false,OVERRUN,119,Absent,Various,ATVI-CoD-trunk,534
29414,Out-of-bounds read,High,04/29/25,Critical,Other,/code/external/icu-74.1/icu4c/source/common/unames.cpp,u_charFromName_75,Third Party/Open Source,Unclassified,,,false,OVERRUN,125,Absent,Various,ATVI-CoD-trunk,Various
29415,Out-of-bounds access,High,04/29/25,Critical,Other,/code/src/client/cl_transients_visibility.cpp,CL_TransientsVisibility_FillVisibilityHintBitArray,Production,Suspicious,,2025-05-09,false,OVERRUN,119,Absent,Various,ATVI-CoD-trunk,89
29416,Out-of-bounds access,High,04/29/25,Critical,Other,/code/external/icu-74.1/icu4c/source/common/ucnv.cpp,ucnv_openU_75,Third Party/Open Source,Unclassified,,,false,OVERRUN,119,Absent,Various,ATVI-CoD-trunk,108
29417,Out-of-bounds read,High,04/29/25,Critical,Other,/code/external/icu-74.1/icu4c/source/common/umutablecptrie.cpp,setRange,Third Party/Open Source,Unclassified,,,false,OVERRUN,125,Absent,Various,ATVI-CoD-trunk,537
29419,Out-of-bounds read,High,04/29/25,Critical,Other,/code/external/icu-74.1/icu4c/source/common/ucnv_lmb.cpp,_LMBCSFromUnicode,Third Party/Open Source,Unclassified,,,false,OVERRUN,125,Absent,Various,ATVI-CoD-trunk,1028
