name,help,type,message,file,start_line,start_offset,end_line,end_offset
CID25520-Untrusted value as argument,25520 Suspicious,TAINTED_SCALAR,Untrusted value as argument,/code/src/server_mp/sv_snapshot_workers_mp.cpp,Various,0,Various,0
CID25502-Out-of-bounds access,25502 Suspicious,OVERRUN,Out-of-bounds access,/code/src/dynentity/DynEntity_spatial.cpp,633,0,633,0
CID25352-Out-of-bounds write,25352 Suspicious,OVERRUN,Out-of-bounds write,/code/src/game_shared/bgame/common_item/bg_common_item.cpp,Various,0,Various,0
CID25232-Out-of-bounds write,25232 Suspicious,OVERRUN,Out-of-bounds write,/code/libs/ddl/src/ddl/ddl_parse.cpp,386,0,386,0
CID25193-Out-of-bounds read,25193 Suspicious,OVERRUN,Out-of-bounds read,/code/libs/ddl/src/ddl/ddl_parse.cpp,199,0,199,0
CID25110-Buffer not null terminated,25110 Suspicious,BUFFER_SIZE,Buffer not null terminated,/code/src/game_iw9/cgame/cg_client_character.cpp,Various,0,Various,0
CID25077-Out-of-bounds access,25077 Suspicious,OVERRUN,Out-of-bounds access,/code/src/client_mp/cl_parse_mp.cpp,888,0,888,0
CID24998-Copy into fixed size buffer,24998 Suspicious,STRING_OVERFLOW,Copy into fixed size buffer,/code/src/online/online_friends_crossplay.cpp,1846,0,1846,0
CID24714-Out-of-bounds access,24714 Suspicious,OVERRUN,Out-of-bounds access,/code/src/online/player_socialdata/player_socialdata_system.inl,Various,0,Various,0
CID24664-Copy into fixed size buffer,24664 Suspicious,STRING_OVERFLOW,Copy into fixed size buffer,/code/src/online/online_archive_replay_playback.cpp,4252,0,4252,0
CID24600-Out-of-bounds access,24600 Suspicious,OVERRUN,Out-of-bounds access,/code/src/game_iw9/cgame/cg_weapons.cpp,Various,0,Various,0
CID24579-Illegal address computation,24579 Suspicious,OVERRUN,Illegal address computation,/code/src/stream/stream_defrag.cpp,4759,0,4759,0
CID24548-Out-of-bounds access,24548 Suspicious,OVERRUN,Out-of-bounds access,/code/src/xanim/xanim.cpp,Various,0,Various,0
CID24422-Out-of-bounds access,24422 Suspicious,OVERRUN,Out-of-bounds access,/code/src/game_iw9/game_sp/g_save_sp.cpp,1718,0,1718,0
CID24293-Out-of-bounds read,24293 Suspicious,OVERRUN,Out-of-bounds read,/code/src/xanim/dobj.cpp,7288,0,7288,0
CID24077-Out-of-bounds access,24077 Suspicious,OVERRUN,Out-of-bounds access,/code/src/physics/Private/Core/PhysicsRT_Vehicle.cpp,Various,0,Various,0
CID24015-Out-of-bounds write,24015 Suspicious,OVERRUN,Out-of-bounds write,/code/src/PatchCollision/PatchCollision_AreaSwap.cpp,163,0,163,0
CID23977-Out-of-bounds access,23977 Suspicious,OVERRUN,Out-of-bounds access,/code/src/universal/edge_octree.h,Various,0,Various,0
