name,help,type,message,file,start_line,start_offset,end_line,end_offset,matched_function,function_length,function_start_line,function_end_line
CID20851-Out-of-bounds access,20851 Suspicious,OVERRUN,Out-of-bounds access,/code/src/game_iw9/cgame/cg_hang.cpp,2141,0,2141,0,CG_Hang_DrawLegs,20,2131,2150
CID20836-Out-of-bounds read,20836 Suspicious,OVERRUN,Out-of-bounds read,/code/src/xanim/xanim_trace.cpp,364,0,364,0,XAnimTrace_TryGetDeferredRaycastResult,34,333,366
CID20833-Out-of-bounds write,20833 Suspicious,OVERRUN,Out-of-bounds write,/code/src/qcommon/com_fastfile_zonelist.h,80,0,80,0,AddFrom,17,70,86
CID20212-Out-of-bounds access,20212 Suspicious,OVERRUN,Out-of-bounds access,/code/src/WaterDynamics/WaterDynamics_PhysicsBehavior.cpp,1809,0,1809,0,CalcSDFPoints,148,1784,1931
CID19751-Out-of-bounds read,19751 Suspicious,OVERRUN,Out-of-bounds read,/code/src/game_iw9/bgame/bg_animstate.cpp,150,0,150,0,BG_AnimationState_GetAnimsetByIndex,11,141,151
CID19644-Out-of-bounds read,19644 Suspicious,OVERRUN,Out-of-bounds read,/code/src/dw/dwEnvironment.cpp,823,0,823,0,dwGetEnvironment,9,820,828
CID19389-Out-of-bounds write,19389 Suspicious,OVERRUN,Out-of-bounds write,/code/common/libs/MathCore/MathCore/math_ops.cpp,7766,0,7766,0,MatrixSub,24,7757,7780
CID19167-Out-of-bounds read,19167 Suspicious,OVERRUN,Out-of-bounds read,/code/src/database/db_binarypatch_load.cpp,579,0,579,0,DB_BinaryPatch_BeginLoad,47,554,600
CID19026-Out-of-bounds read,19026 Suspicious,OVERRUN,Out-of-bounds read,/code/src/qcommon/com_fastfile_zonelist.h,164,0,164,0,Add,6,160,165
CID17900-Out-of-bounds access,17900 Suspicious,OVERRUN,Out-of-bounds access,/code/src/gfx/r_water.cpp,8106,0,8106,0,R_Water_AdjustTechniqueTypeForVRS,11,8100,8110
CID17856-Buffer not null terminated,17856 Suspicious,BUFFER_SIZE,Buffer not null terminated,/code/src/game_iw9/bgame/bg_matchrules_history.cpp,1440,0,1440,0,BG_MatchRulesHistory_WriteRecipeAsync,24,1429,1452
CID17518-Untrusted loop bound,17518 Suspicious,TAINTED_SCALAR,Untrusted loop bound,/code/src/win32/win_main.cpp,467,0,467,0,Sys_InitPhysicalDiskSectorSize,91,412,502
CID17430-Out-of-bounds access,17430 Suspicious,OVERRUN,Out-of-bounds access,/code/src/mapVoxelizedState/MapVoxelizedState.cpp,823,0,823,0,MapVoxelizedState_ReadChanges,80,776,855
CID17172-Out-of-bounds access,17172 Suspicious,OVERRUN,Out-of-bounds access,/code/src/ecs_common/ecs_client_centity.cpp,134,0,134,0,GetLocalPlayer,7,130,136
CID16915-Out-of-bounds read,16915 Suspicious,OVERRUN,Out-of-bounds read,/code/src/game_iw9/game/ai/ai_scripted_coordinator.cpp,3236,0,3236,0,ProcessCoverFireTask,274,3215,3488
CID16811-Out-of-bounds write,16811 Suspicious,OVERRUN,Out-of-bounds write,/code/src/game_shared/bgame/vehicles/bg_vehicle_elm_collection.inl,25,0,25,0,AddElement,9,18,26
CID16769-Out-of-bounds access,16769 Suspicious,OVERRUN,Out-of-bounds access,/code/src/xanim/proceduralbones/proceduralbones_allocator.cpp,715,0,715,0,XAnimProceduralBonesAllocator_GetInstance,17,701,717
CID16182-Out-of-bounds read,16182 Suspicious,OVERRUN,Out-of-bounds read,/code/src/gfx/r_init.cpp,1750,0,1750,0,R_SystemsShutdown,391,1471,1861
CID16046-Out-of-bounds access,16046 Suspicious,OVERRUN,Out-of-bounds access,/code/src/client/cl_ui_streaming.cpp,2000,0,2000,0,CL_UIStreaming_UpdateWorldRequestCount,13,1995,2007
CID15837-Out-of-bounds write,15837 Suspicious,OVERRUN,Out-of-bounds write,/code/src/memory/mem_paged.cpp,4174,0,4174,0,Mem_Paged_AddPageUnmapToBatchContext,81,4100,4180
CID15518-Out-of-bounds access,15518 Suspicious,OVERRUN,Out-of-bounds access,/code/common/libs/SuperTerrainCore/SuperTerrainCore/SuperTerrainDefines.h,221,0,221,0,R_ST_IterateLayerMask,16,214,229
CID15496-Out-of-bounds read,15496 Suspicious,OVERRUN,Out-of-bounds read,/code/src/stream/stream_defrag.cpp,978,0,978,0,Command_MaxPageCount,52,962,1013
CID15143-Out-of-bounds read,15143 Suspicious,OVERRUN,Out-of-bounds read,/code/src/database/db_binarypatch_load.cpp,577,0,577,0,DB_BinaryPatch_BeginLoad,47,554,600
CID15101-Out-of-bounds write,15101 Suspicious,OVERRUN,Out-of-bounds write,/code/src/game_shared/bgame/vehicles/bg_vehicle_elm_collection.inl,25,0,25,0,AddElement,9,18,26
CID15071-Copy into fixed size buffer,15071 Suspicious,STRING_OVERFLOW,Copy into fixed size buffer,/code/src/los_precompute/los_precompute_system.cpp,169,0,169,0,LoadDynamicPathNodeDeclarationFile,88,160,247
CID15037-Out-of-bounds access,15037 Suspicious,OVERRUN,Out-of-bounds access,/code/src/online/online_friends_crossplay.cpp,954,0,954,0,HandleAddFriends,183,954,1136
CID14957-Out-of-bounds read,14957 Suspicious,OVERRUN,Out-of-bounds read,/code/src/game_iw9/game/g_objectives.cpp,841,0,841,0,G_Objectives_Dump,63,829,891
CID14712-Out-of-bounds read,14712 Suspicious,OVERRUN,Out-of-bounds read,/code/src/game_iw9/cgame_mp/cg_snapshot_mp.cpp,4979,0,4979,0,CG_SnapshotMP_UpdateClientsCmd,157,4887,5043
