issue_id,original_cid,first_detected,severity,component,function,impact,abk_classification,name_with_cid
158,23977,03/29/24,Critical,Other,ProcessScriptableCandidateHit,High,Suspicious,CID23977-Out-of-bounds access
159,23844,03/29/24,Critical,Other,Info_CopyValues,High,Suspicious,CID23844-Destination buffer too small
160,23609,03/29/24,Critical,Other,SV_SnapshotMP_EmitClientMessageScriptables,Medium,Suspicious,CID23609-Untrusted value as argument
161,23599,03/29/24,Critical,Other,G_SaveSP_ReadPathNodes,High,Suspicious,CID23599-Out-of-bounds access
162,23530,03/29/24,Critical,Other,WaterDynamics_Physics_UnlockContextForWorld,High,Suspicious,CID23530-Out-of-bounds access
163,23524,03/29/24,Critical,Other,ReadThreatBiasGroups,High,Suspicious,CID23524-Out-of-bounds access
164,23091,03/29/24,Critical,Other,BG_PlayerASM_IsTransitionReverse,High,Suspicious,CID23091-Out-of-bounds read
165,23029,03/29/24,Critical,Other,BG_Emote_GetStreamCollection,High,Suspicious,CID23029-Out-of-bounds access
166,22919,03/29/24,Critical,Other,SetComponentCacheStatus,High,Suspicious,CID22919-Out-of-bounds access
167,22888,03/29/24,Critical,Other,PhysicsDestroyEffector,High,Suspicious,CID22888-Out-of-bounds access
168,22871,03/29/24,Critical,Other,WaterDynamics_Physics_LockContextForWorld,High,Suspicious,CID22871-Out-of-bounds access
169,22860,03/29/24,Critical,Other,PhysicsDestroyComponent,High,Suspicious,CID22860-Out-of-bounds access
170,22792,03/29/24,Critical,Other,SD_VoicePitchStereoEnv,High,Suspicious,CID22792-Out-of-bounds read
171,22768,03/29/24,Critical,Other,PatchCollision_AreaSwap_DestroyPhysicsInstances,High,Suspicious,CID22768-Out-of-bounds write
172,22709,03/29/24,Critical,Other,PhysicsRT_IsClientEntitylessScriptable,High,Suspicious,CID22709-Out-of-bounds access
173,22665,03/29/24,Critical,Other,onConsoleBanned,High,Suspicious,CID22665-Out-of-bounds access
174,22641,03/29/24,Critical,Other,R_ProcessDynamicLightBSP_r,High,Suspicious,CID22641-Out-of-bounds read
175,22543,03/29/24,Critical,Other,R_DynLightBSPNode_ComputeBounds,High,Suspicious,CID22543-Out-of-bounds read
176,22455,03/29/24,Critical,Other,LUIElement_Anchored_GetWorldPosition,High,Suspicious,CID22455-Out-of-bounds access
177,22395,03/29/24,Critical,Other,ProcessRequest,High,Suspicious,CID22395-Out-of-bounds access
178,22357,03/29/24,Critical,Other,CG_ReloadCheckpointGetBlendTime,High,Suspicious,CID22357-Out-of-bounds access
179,22183,03/29/24,Critical,Other,SV_SnapshotMP_ResolveWeaponMap,Medium,Suspicious,CID22183-Untrusted value as argument
180,22177,03/29/24,Critical,Other,G_TurretSP_SaveGame_Read,High,Suspicious,CID22177-Out-of-bounds access
