name,help,type,message,file,start_line,start_offset,end_line,end_offset
Out-of-bounds write,Suspicious,OVERRUN,Out-of-bounds write,/code/src/gfx/r_nlg_atlas.cpp,1135,0,1135,0
Out-of-bounds write,Suspicious,OVERRUN,Out-of-bounds write,/code/src/gfx/rb_data_copier.cpp,1157,0,1157,0
Out-of-bounds access,Suspicious,OVERRUN,Out-of-bounds access,/code/src/database/db_zones.cpp,2004,0,2004,0
Out-of-bounds write,Suspicious,OVERRUN,Out-of-bounds write,/code/src/database/db_zones.cpp,1959,0,1959,0
Out-of-bounds access,Suspicious,OVERRUN,Out-of-bounds access,/code/src/physics/Private/Core/PhysicsRT_Ref.cpp,Various,0,Various,0
Out-of-bounds write,Suspicious,OVERRUN,Out-of-bounds write,/code/src/gfx/r_taskgraph_compile_barriers.cpp.h,898,0,898,0
Out-of-bounds read,Suspicious,OVERRUN,Out-of-bounds read,/code/src/mapVoxelizedState/MapVoxelizedState_RingBufferReceive.cpp,Various,0,Various,0
Out-of-bounds read,Suspicious,OVERRUN,Out-of-bounds read,/code/src/game_shared/game/common_item/g_common_item.cpp,366,0,366,0
Out-of-bounds read,Suspicious,OVERRUN,Out-of-bounds read,/code/src/dynentity/DynEntity_spatial.cpp,Various,0,Various,0
Out-of-bounds read,Suspicious,OVERRUN,Out-of-bounds read,/code/src/game_iw9/bgame/asm/bg_player_asm_util.cpp,3235,0,3235,0
Out-of-bounds access,Suspicious,OVERRUN,Out-of-bounds access,/code/src/dlog/dlog_bindings.cpp,92,0,92,0
Out-of-bounds read,Suspicious,OVERRUN,Out-of-bounds read,/code/src/game_iw9/bgame/asm/bg_player_asm_util.cpp,3344,0,3344,0
Out-of-bounds access,Suspicious,OVERRUN,Out-of-bounds access,/code/src/game_shared/bgame/vehicles/bg_vehicle_physics_manager.inl,Various,0,Various,0
Out-of-bounds write,Suspicious,OVERRUN,Out-of-bounds write,/code/src/game_iw9/game/ai/ai_interaction_manager.cpp,246,0,246,0
Out-of-bounds access,Suspicious,OVERRUN,Out-of-bounds access,/code/src/game_iw9/bgame/lwagent/pathtimeline/bg_pathtimeline.cpp,192,0,192,0
Out-of-bounds read,Suspicious,OVERRUN,Out-of-bounds read,/code/src/game_shared/bgame/bg_ai.cpp,218,0,218,0
Out-of-bounds read,Suspicious,OVERRUN,Out-of-bounds read,/code/src/game_iw9/cgame/cg_client_character.cpp,2458,0,2458,0
Out-of-bounds access,Suspicious,OVERRUN,Out-of-bounds access,/code/src/gfx/r_amd_ffx_security.h,98,0,98,0
Out-of-bounds read,Suspicious,OVERRUN,Out-of-bounds read,/code/src/game_shared/bgame/common_item/bg_common_item.cpp,796,0,796,0
Out-of-bounds access,Suspicious,OVERRUN,Out-of-bounds access,/code/src/weather/weather_griddynamic.cpp,428,0,428,0
Out-of-bounds access,Suspicious,OVERRUN,Out-of-bounds access,/code/src/weather/weather_griddynamic.cpp,369,0,369,0
Out-of-bounds read,Suspicious,OVERRUN,Out-of-bounds read,/code/src/db_zlib/db_inftrees.cpp,Various,0,Various,0
Out-of-bounds read,Suspicious,OVERRUN,Out-of-bounds read,/code/src/db_zlib/db_inftrees.cpp,195,0,195,0
Out-of-bounds read,Suspicious,OVERRUN,Out-of-bounds read,/code/src/game_iw9/cgame/cg_pose.cpp,Various,0,Various,0
Out-of-bounds write,Suspicious,OVERRUN,Out-of-bounds write,/code/common/libs/fracture/fracture/half_edge_clipper.cpp,36,0,36,0
Out-of-bounds write,Suspicious,OVERRUN,Out-of-bounds write,/code/src/weather/weather_griddynamic_streamer_tile.inl,Various,0,Various,0
Out-of-bounds read,Suspicious,OVERRUN,Out-of-bounds read,/code/src/weather/weather_griddynamic_streamer_tile.inl,Various,0,Various,0
Out-of-bounds read,Suspicious,OVERRUN,Out-of-bounds read,/code/src/game_iw9/cgame/cg_hang.cpp,Various,0,Various,0
Out-of-bounds read,Suspicious,OVERRUN,Out-of-bounds read,/code/src/database/db_binarypatch_load.cpp,501,0,501,0
Out-of-bounds read,Suspicious,OVERRUN,Out-of-bounds read,/code/src/database/db_binarypatch_load.cpp,505,0,505,0
Out-of-bounds access,Suspicious,OVERRUN,Out-of-bounds access,/code/src/game_iw9/game/g_objectives.cpp,4534,0,4534,0
